"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 12 19:58:28 CST 2025","Wed Nov 12 19:58:57 CST 2025","28650","testcase","test_Dashboard_TESTING_Monitoring","","","","test_Dashboard_TESTING_Monitoring",""
"passed","Wed Nov 12 20:03:44 CST 2025","Wed Nov 12 20:04:10 CST 2025","26250","testcase","test_HomePage_redirect_Solution_AIAgent","","","","test_HomePage_redirect_Solution_AIAgent",""
"passed","Wed Nov 12 20:06:31 CST 2025","Wed Nov 12 20:06:49 CST 2025","18675","testcase","test_User_Login_Failure_IncorrestPassword","","","","test_User_Login_Failure_IncorrestAccount",""
"passed","Wed Nov 12 20:00:06 CST 2025","Wed Nov 12 20:00:45 CST 2025","38677","testcase","test_Dashboard_TESTING_TestLists_RunList","","","","test_Dashboard_TESTING_TestLists_CreatList",""
"passed","Wed Nov 12 20:08:48 CST 2025","Wed Nov 12 20:09:19 CST 2025","31161","testcase","test_User_Registration_Success","","","","test_User_Registration_Success",""
"passed","Wed Nov 12 20:01:10 CST 2025","Wed Nov 12 20:01:37 CST 2025","27173","testcase","test_HomePage_redirect_Blog","","","","test_HomePage_redirect_Blog",""
"passed","Wed Nov 12 19:55:15 CST 2025","Wed Nov 12 19:55:42 CST 2025","26733","testcase","test_Dashboard_SETTINGS_Profile","","","","test_Dashboard_SETTINGS_Profile",""
"passed","Wed Nov 12 19:56:29 CST 2025","Wed Nov 12 19:58:28 CST 2025","118886","testcase","test_Dashboard_TESTING_CreateTests","","","","test_Dashboard_TESTING_CreateTests",""
"passed","Wed Nov 12 19:55:42 CST 2025","Wed Nov 12 19:56:29 CST 2025","47410","testcase","test_Dashboard_TESTING_AllTests","","","","test_Dashboard_TESTING_AllTests",""
"passed","Wed Nov 12 20:07:19 CST 2025","Wed Nov 12 20:07:53 CST 2025","33989","testcase","test_User_Registration_EmailAlreadyExists _Errors","","","","test_User_Registration_Success",""
"passed","Wed Nov 12 20:00:45 CST 2025","Wed Nov 12 20:01:10 CST 2025","24959","testcase","test_HomePage_info","","","","test_HomePage_info",""
"passed","Wed Nov 12 20:04:10 CST 2025","Wed Nov 12 20:04:34 CST 2025","23276","testcase","test_HomePage_redirect_Solution_BackendTesting","","","","test_HomePage_redirect_Solution_BackendTesting",""
"passed","Wed Nov 12 19:54:45 CST 2025","Wed Nov 12 19:55:15 CST 2025","29894","testcase","test_Dashboard_SETTINGS_PlanBilling","","","","test_Dashboard_SETTINGS_PlanBilling",""
